L_int_m,width
1.9297358028952477e-06,1.4546520146520148
2.4293934403138455e-06,1.4401953601953603
3.0584251372571603e-06,1.4183150183150184
3.850329125363099e-06,1.3866666666666667
4.847277179690822e-06,1.3347008547008548
6.102360419522732e-06,1.24991452991453
7.682416604064092e-06,1.1330891330891333
9.671589486845728e-06,0.9822710622710623
1.2175809777431385e-05,0.804884004884005
1.5328436337980273e-05,0.6317948717948719
1.9297358028952475e-05,0.4915262515262515
2.4293934403138505e-05,0.38446886446886464
3.05842513725716e-05,0.3028083028083029
3.8503291253630995e-05,0.23873015873015868
4.8472771796908216e-05,0.18910866910866914
6.1023604195227326e-05,0.14964590964590968
7.682416604064092e-05,0.11838827838827842
9.671589486845727e-05,0.09416361416361418
0.00012175809777431398,0.07423687423687422
0.00015328436337980273,0.05938949938949929
0.00019297358028952497,0.04688644688644694
