sigmaE,width
0.0001,0.0008
0.005595000000000001,0.013694897360703817
0.011090000000000001,0.01361587487781036
0.016585000000000003,0.013618181818181821
0.022080000000000002,0.01346815249266862
0.027575000000000002,0.01358533724340176
0.03307000000000001,0.013447820136852391
0.03856500000000001,0.01357126099706744
0.04406000000000001,0.013437653958944282
0.04955500000000001,0.013563440860215057
0.05505000000000001,0.013345454545454532
0.06054500000000001,0.013257165200391028
0.06604000000000002,0.013427487781036175
0.07153500000000002,0.01342592375366569
0.07703000000000002,0.013252473118279574
0.08252500000000002,0.013552492668621706
0.08802000000000001,0.013078240469208219
0.09351500000000001,0.013163401759530754
0.09901000000000001,0.013162619745845512
0.10450500000000001,0.013075894428152567
0.11000000000000001,0.01290322580645162
